centerPathDist,indPathDist,ForagingIntake,foraginIntakeSD,GroupSize,influenceType,path,corePer,PathFood,pathWidth,steps,
228.7541393,227.9052659,0.247427778,0.012739074,50,2,8,0.1,0.001,25,18000,102
9999,9999,0.47332,0.02755985,50,2,0,0.9,0.001,25,18000,103
156.8757627,180.8596614,0.452062222,0.030814929,50,2,1,0.9,0.001,25,18000,104
122.6534646,168.3101009,0.46066,0.039936806,50,2,2,0.9,0.001,25,18000,105
250.069913,313.9108228,0.478248889,0.022957221,50,2,4,0.9,0.001,25,18000,106
196.7185457,280.8819935,0.411304444,0.040016634,50,2,8,0.9,0.001,25,18000,107
9999,9999,0.229023333,0.011517804,50,2,0,0.1,0.001,25,18000,108
158.3984023,167.5713196,0.385144444,0.013602695,50,2,1,0.1,0.001,25,18000,109
153.1119345,158.1269145,0.29456,0.013459237,50,2,2,0.1,0.001,25,18000,110
293.4613298,296.1510857,0.281692222,0.013985257,50,2,4,0.1,0.001,25,18000,111
200.3497396,202.0291853,0.180283333,0.010118157,50,2,8,0.1,0.001,25,18000,112
9999,9999,0.435068889,0.032343197,50,2,0,0.9,0.001,25,18000,113
127.8124838,213.1658921,0.504468889,0.02265264,50,2,1,0.9,0.001,25,18000,114
113.3759811,261.5476525,0.473676667,0.038557774,50,2,2,0.9,0.001,25,18000,115
218.1846829,299.0817201,0.451558889,0.0362368,50,2,4,0.9,0.001,25,18000,116
234.8978216,225.2254398,0.474766667,0.028672628,50,2,8,0.9,0.001,25,18000,117
9999,9999,0.252205556,0.012730728,50,2,0,0.1,0.001,25,18000,118
826.5199551,827.9548472,0.25898,0.013776996,50,2,1,0.1,0.001,25,18000,119
219.1311785,223.3327674,0.303231111,0.012227143,50,2,2,0.1,0.001,25,18000,120
365.8051999,366.50591,0.23865,0.013649358,50,2,4,0.1,0.001,25,18000,121
179.3541884,181.1201092,0.259855556,0.013794131,50,2,8,0.1,0.001,25,18000,122
9999,9999,0.438614444,0.029941541,50,2,0,0.9,0.001,25,18000,123
20.43124136,188.8966025,0.43643,0.036778343,50,2,1,0.9,0.001,25,18000,124
148.4145643,216.5224916,0.458766667,0.037226938,50,2,2,0.9,0.001,25,18000,125
193.6274937,279.0961922,0.429545556,0.035114609,50,2,4,0.9,0.001,25,18000,126
85.57718713,257.4593342,0.461137778,0.032039361,50,2,8,0.9,0.001,25,18000,127
9999,9999,0.218367778,0.011714315,50,2,0,0.1,0.001,25,18000,128
190.9348308,201.4360871,0.38657,0.01229278,50,2,1,0.1,0.001,25,18000,129
382.4847383,383.8204159,0.223138889,0.013441949,50,2,2,0.1,0.001,25,18000,130
415.8467897,416.7519862,0.245068889,0.013547174,50,2,4,0.1,0.001,25,18000,131
162.9169604,165.4765847,0.269596667,0.013502349,50,2,8,0.1,0.001,25,18000,132
9999,9999,0.430233333,0.035621176,50,2,0,0.9,0.001,25,18000,133
287.1387323,274.5349922,0.475328889,0.026665685,50,2,1,0.9,0.001,25,18000,134
186.3389642,248.8575059,0.494501111,0.029257147,50,2,2,0.9,0.001,25,18000,135
235.6646521,224.9238176,0.496846667,0.026310115,50,2,4,0.9,0.001,25,18000,136
188.8992759,239.0442049,0.452877778,0.033596017,50,2,8,0.9,0.001,25,18000,137
9999,9999,0.242145556,0.013016249,50,2,0,0.1,0.001,25,18000,138
314.7147384,315.1385678,0.230365556,0.012959962,50,2,1,0.1,0.001,25,18000,139
236.191036,238.7842002,0.269217778,0.01393025,50,2,2,0.1,0.001,25,18000,140
551.0116037,551.4980064,0.224285556,0.012608994,50,2,4,0.1,0.001,25,18000,141
213.3737339,215.4995192,0.289808889,0.014073555,50,2,8,0.1,0.001,25,18000,142
9999,9999,0.474597778,0.023757817,50,2,0,0.9,0.001,25,18000,143
213.0561004,222.7712185,0.430072222,0.032103797,50,2,1,0.9,0.001,25,18000,144
227.353669,184.6740753,0.517751111,0.03035944,50,2,2,0.9,0.001,25,18000,145
194.037878,279.1325445,0.438148889,0.035662656,50,2,4,0.9,0.001,25,18000,146
182.9323856,208.9542041,0.46963,0.028112983,50,2,8,0.9,0.001,25,18000,147
9999,9999,0.226488889,0.011850976,50,2,0,0.1,0.001,25,18000,148
85.81563989,94.555035,0.391247778,0.013979682,50,2,1,0.1,0.001,25,18000,149
155.7711953,157.8957706,0.265047778,0.011859636,50,2,2,0.1,0.001,25,18000,150
221.8845908,225.4931253,0.30199,0.013059655,50,2,4,0.1,0.001,25,18000,151
435.4294273,435.4435191,0.207322222,0.011347207,50,2,8,0.1,0.001,25,18000,152
9999,9999,0.480132222,0.02367967,50,2,0,0.9,0.001,25,18000,153
283.4993124,272.6247056,0.480201111,0.026133904,50,2,1,0.9,0.001,25,18000,154
130.3882052,232.0311856,0.498004444,0.030047652,50,2,2,0.9,0.001,25,18000,155
191.4823149,277.9899927,0.462582222,0.031508755,50,2,4,0.9,0.001,25,18000,156
162.1188058,272.4536435,0.382273333,0.044823669,50,2,8,0.9,0.001,25,18000,157
9999,9999,0.243521111,0.013089507,50,2,0,0.1,0.001,25,18000,158
482.9115217,483.5458793,0.210882222,0.012492354,50,2,1,0.1,0.001,25,18000,159
291.2828065,293.7855891,0.257624444,0.013276808,50,2,2,0.1,0.001,25,18000,160
317.6746992,319.6151025,0.210645556,0.010190415,50,2,4,0.1,0.001,25,18000,161
143.7111109,147.0192766,0.293173333,0.014136446,50,2,8,0.1,0.001,25,18000,162
9999,9999,0.418715556,0.027345326,50,2,0,0.9,0.001,25,18000,163
333.2616972,342.068629,0.450533333,0.028916583,50,2,1,0.9,0.001,25,18000,164
163.7729864,180.4930262,0.529043333,0.026864364,50,2,2,0.9,0.001,25,18000,165
200.6397773,257.6375847,0.468672222,0.033793234,50,2,4,0.9,0.001,25,18000,166
224.5897551,228.8052392,0.450413333,0.037893252,50,2,8,0.9,0.001,25,18000,167
9999,9999,0.233614444,0.013603719,50,2,0,0.1,0.001,25,18000,168
110.9816573,118.2159989,0.359274444,0.012281871,50,2,1,0.1,0.001,25,18000,169
395.2589203,398.3545833,0.289256667,0.012255873,50,2,2,0.1,0.001,25,18000,170
289.4146719,290.1549019,0.22144,0.012539296,50,2,4,0.1,0.001,25,18000,171
187.0823462,190.1729375,0.19479,0.011081624,50,2,8,0.1,0.001,25,18000,172
9999,9999,0.448194444,0.027808558,50,2,0,0.9,0.001,25,18000,173
77.79514542,183.2582945,0.46929,0.028974754,50,2,1,0.9,0.001,25,18000,174
114.354015,191.1360398,0.498087778,0.029921681,50,2,2,0.9,0.001,25,18000,175
280.8217639,315.7594639,0.458781111,0.037240762,50,2,4,0.9,0.001,25,18000,176
232.0570644,259.7134493,0.454286667,0.031090235,50,2,8,0.9,0.001,25,18000,177
9999,9999,0.093564444,0.0055278,50,2,0,0.1,0.001,25,18000,178
189.6297766,191.7266416,0.244152222,0.012080637,50,2,1,0.1,0.001,25,18000,179
184.6584299,191.4852144,0.358705556,0.013686343,50,2,2,0.1,0.001,25,18000,180
661.2054192,661.8403086,0.223243333,0.012298605,50,2,4,0.1,0.001,25,18000,181
200.7980535,203.4822656,0.295415556,0.014528671,50,2,8,0.1,0.001,25,18000,182
9999,9999,0.466567778,0.024545409,50,2,0,0.9,0.001,25,18000,183
247.4439369,215.6805256,0.480897778,0.031164983,50,2,1,0.9,0.001,25,18000,184
100.2863649,233.0910496,0.475584444,0.035548748,50,2,2,0.9,0.001,25,18000,185
158.6826658,286.8154383,0.470582222,0.03138423,50,2,4,0.9,0.001,25,18000,186
83.60116068,244.0626269,0.442963333,0.031351705,50,2,8,0.9,0.001,25,18000,187
9999,9999,0.250178889,0.014414943,50,2,0,0.1,0.001,25,18000,188
183.5948153,192.0232919,0.387113333,0.013546427,50,2,1,0.1,0.001,25,18000,189
486.0386431,490.0586096,0.317756667,0.013047913,50,2,2,0.1,0.001,25,18000,190
406.7378699,407.4679991,0.067187778,0.004021232,50,2,4,0.1,0.001,25,18000,191
179.8758707,181.5521962,0.154472222,0.009959424,50,2,8,0.1,0.001,25,18000,192
9999,9999,0.442345556,0.027948927,50,2,0,0.9,0.001,25,18000,193
336.207046,333.1924917,0.492194444,0.02349283,50,2,1,0.9,0.001,25,18000,194
181.5496022,209.5657329,0.510126667,0.033572116,50,2,2,0.9,0.001,25,18000,195
165.3116549,249.6419945,0.481531111,0.028505861,50,2,4,0.9,0.001,25,18000,196
261.9309113,221.4624978,0.465294444,0.031321482,50,2,8,0.9,0.001,25,18000,197
9999,9999,0.260064444,0.01444834,50,2,0,0.1,0.001,25,18000,198
376.1217387,376.6879497,0.237097778,0.013565766,50,2,1,0.1,0.001,25,18000,199
703.8743146,704.0253197,0.171658889,0.008662448,50,2,2,0.1,0.001,25,18000,200
177.99628,181.3813387,0.288263333,0.01412863,50,2,4,0.1,0.001,25,18000,201
251.7976614,253.8915807,0.26266,0.013033788,50,2,8,0.1,0.001,25,18000,202
9999,9999,0.485,0.021744479,50,2,0,0.9,0.001,25,18000,203
68.91625151,210.6410169,0.453267778,0.034985829,50,2,1,0.9,0.001,25,18000,204
231.0945473,299.7820784,0.44671,0.040851734,50,2,2,0.9,0.001,25,18000,205
171.0715907,337.801253,0.44459,0.040298966,50,2,4,0.9,0.001,25,18000,206
188.2471524,218.9934735,0.431885556,0.040241415,50,2,8,0.9,0.001,25,18000,207
9999,9999,0.208347778,0.012143058,50,2,0,0.1,0.001,25,18000,208
59.54832966,67.73386635,0.361271111,0.011885294,50,2,1,0.1,0.001,25,18000,209
547.1060935,547.5085666,0.200053333,0.010363282,50,2,2,0.1,0.001,25,18000,210
408.139828,410.3033085,0.284974444,0.013135021,50,2,4,0.1,0.001,25,18000,211
270.9882786,270.7641196,0.215123333,0.013237401,50,2,8,0.1,0.001,25,18000,212
9999,9999,0.451257778,0.0273643,50,2,0,0.9,0.001,25,18000,213
80.54825196,203.8847235,0.486648889,0.025486211,50,2,1,0.9,0.001,25,18000,214
198.7218934,212.3268563,0.526307778,0.024820225,50,2,2,0.9,0.001,25,18000,215
162.7070983,300.5256372,0.408044444,0.038638204,50,2,4,0.9,0.001,25,18000,216
168.8276724,191.7469892,0.415325556,0.041055981,50,2,8,0.9,0.001,25,18000,217
9999,9999,0.216058889,0.013311404,50,2,0,0.1,0.001,25,18000,218
64.98974726,73.37604211,0.356876667,0.011979792,50,2,1,0.1,0.001,25,18000,219
233.2130453,234.9260283,0.275778889,0.012428648,50,2,2,0.1,0.001,25,18000,220
375.9615636,377.1663002,0.216735556,0.0123838,50,2,4,0.1,0.001,25,18000,221
229.8652834,231.8441388,0.271673333,0.012531677,50,2,8,0.1,0.001,25,18000,222
9999,9999,0.449528889,0.032586973,50,2,0,0.9,0.001,25,18000,223
239.9693582,271.5069299,0.456022222,0.030001456,50,2,1,0.9,0.001,25,18000,224
171.7070908,297.932724,0.458113333,0.038442974,50,2,2,0.9,0.001,25,18000,225
143.7848387,236.0758021,0.394451111,0.042437999,50,2,4,0.9,0.001,25,18000,226
160.2627563,253.2305185,0.464204444,0.026798507,50,2,8,0.9,0.001,25,18000,227
9999,9999,0.148801111,0.007646428,50,2,0,0.1,0.001,25,18000,228
57.0321119,65.77834633,0.381352222,0.012481357,50,2,1,0.1,0.001,25,18000,229
402.6920536,404.536557,0.284453333,0.012102188,50,2,2,0.1,0.001,25,18000,230
454.9012491,455.5755956,0.235795556,0.01457298,50,2,4,0.1,0.001,25,18000,231
157.974283,160.5795736,0.21482,0.010622365,50,2,8,0.1,0.001,25,18000,232
